open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_trades,buy_base_asset_volume,buy_quote_asset_volume
1505606400000,3685.23,3709.94,3550.0,3559.0,211.850997,1505635199999,762178.78592219,1776,53.808371,194254.18273352
1505635200000,3559.0,3660.0,3499.02,3637.33,296.699562,1505663999999,1060274.74572801,2652,138.351337,496732.09931772
1505664000000,3649.49,3748.21,3638.05,3699.99,173.620651,1505692799999,644036.74694446,1927,81.772268,303857.34840825
1505692800000,3690.0,4000.0,3690.0,3950.32,357.448391,1505721599999,1376876.12078601,2919,162.837773,631134.82758188
1505721600000,3976.58,4123.2,3848.33,4030.33,442.255206,1505750399999,1770212.3053249,3395,184.684952,740148.0876017
1505750400000,4048.99,4085.0,3928.33,4035.01,230.302858,1505779199999,921944.63104772,1906,70.115997,280580.45607518
1505779200000,4060.0,4089.97,3830.91,3936.28,345.425481,1505807999999,1363504.75124989,2635,107.196643,423712.93301853
1505808000000,3880.06,4032.02,3873.0,3965.01,296.642387,1505836799999,1176889.63974734,2246,91.787069,364992.21304829
1505836800000,3970.0,4014.56,3830.91,3910.04,260.264261,1505865599999,1017920.80644149,2461,58.33664,228098.7357085
1505865600000,3910.04,3988.83,3820.0,3913.89,258.196067,1505894399999,1004286.25589523,2685,106.381028,416387.39809596
1505894400000,3913.91,4046.08,3859.31,4005.0,236.162256,1505923199999,936005.37588047,2428,142.575965,563657.3901829
1505923200000,3997.5,4039.99,3860.09,3900.0,226.576753,1505951999999,899292.82131234,2118,146.318145,582165.3615603
1505952000000,3889.99,3910.0,3800.0,3885.23,277.17323,1505980799999,1069010.7731022,2482,155.799905,601155.01740385
1505980800000,3885.23,3904.81,3668.6,3727.44,344.078675,1506009599999,1302946.84528108,2963,167.591706,639208.82763857
1506009600000,3730.0,3747.48,3567.0,3609.99,380.402179,1506038399999,1385085.45982936,3269,193.867315,705874.79369505
1506038400000,3592.84,3750.0,3592.84,3658.46,271.387891,1506067199999,999187.84493762,2676,174.035759,640043.88463927
1506067200000,3658.46,3669.0,3505.55,3514.07,331.834871,1506095999999,1188446.45608995,2998,175.150107,628420.1946618
1506096000000,3527.97,3645.18,3514.08,3595.87,235.743663,1506124799999,844137.13190092,2478,161.874003,579640.53324067
1506124800000,3595.88,3717.44,3542.91,3689.38,224.995479,1506153599999,819066.76191532,2256,124.277498,453207.65446861
1506153600000,3689.38,3817.19,3688.0,3746.36,273.469011,1506182399999,1026868.41850689,2693,167.013792,627359.71261452
1506182400000,3746.37,3790.0,3700.0,3780.0,254.328301,1506211199999,953771.8190929,3453,140.65542,528111.77619159
1506211200000,3779.54,3789.99,3622.76,3669.0,296.860916,1506239999999,1103569.0913805,3534,125.00298,465814.93117887
1506240000000,3668.0,3730.0,3627.19,3691.31,230.468446,1506268799999,848793.90789275,3318,108.884805,401988.22186877
1506268800000,3707.89,3707.94,3624.38,3660.02,134.307028,1506297599999,493425.43692716,1872,57.051385,210161.17333324
1506297600000,3660.02,3815.74,3653.69,3780.6,285.724436,1506326399999,1071636.15193624,3252,112.07118,420799.31018139
1506326400000,3789.5,3945.0,3747.94,3910.01,254.142513,1506355199999,973410.48130086,3706,115.314511,442108.73309476
1506355200000,3915.01,3979.87,3887.8,3920.75,188.127764,1506383999999,739124.21994612,2782,71.453468,281181.13637266
1506384000000,3928.0,3959.56,3850.05,3925.0,250.300186,1506412799999,978503.29810333,3441,114.958707,449794.49823764
1506412800000,3925.0,3976.99,3888.28,3920.0,128.849177,1506441599999,506105.16478479,2228,50.046912,196933.78017122
1506441600000,3925.0,3939.99,3880.0,3882.35,147.578624,1506470399999,576587.11579197,2302,60.564664,237196.74015444
1506470400000,3882.36,3973.0,3872.81,3968.0,114.16673,1506499199999,448973.09087074,1840,46.245891,182365.31193385
1506499200000,3952.1,4119.0,3931.0,4090.0,312.866409,1506527999999,1270643.38713904,3718,196.142386,796987.78811
1506528000000,4099.8,4249.94,4075.05,4193.0,201.137827,1506556799999,835013.33646123,2815,105.695364,439168.9310774
1506556800000,4192.11,4300.0,4140.01,4246.0,261.180197,1506585599999,1099766.41606194,3624,109.124066,459391.06679831
1506585600000,4247.0,4272.45,4101.0,4168.0,339.66173,1506614399999,1418774.00346181,4405,144.324053,603714.20670689
1506614400000,4133.03,4209.68,4110.0,4174.5,248.943398,1506643199999,1034638.45084979,3397,111.069333,462362.08430047
1506643200000,4178.98,4215.0,3952.01,4090.1,902.324517,1506671999999,3657416.19749305,6570,414.073317,1679424.6824741
1506672000000,4090.1,4251.0,4060.02,4143.02,390.171288,1506700799999,1623642.87515569,4600,147.387506,612332.61747999
1506700800000,4145.03,4263.86,4101.01,4174.69,309.81376,1506729599999,1290687.28635202,3664,98.947412,414396.51556025
1506729600000,4175.0,4300.0,4138.1,4300.0,293.173204,1506758399999,1239669.2959492,3422,128.455801,544933.76555084
1506758400000,4310.0,4358.99,4266.11,4353.98,228.174464,1506787199999,984935.63198147,3246,81.25803,351511.23695476
1506787200000,4349.0,4380.0,4307.5,4378.51,199.005515,1506815999999,863749.47291469,2656,83.252862,362095.22002434
1506816000000,4378.49,4378.49,4265.02,4335.82,219.207955,1506844799999,946204.80618613,3286,92.136066,398475.73751807
1506844800000,4335.82,4359.6,4240.04,4299.99,285.780118,1506873599999,1229859.07590553,3764,88.370637,380813.79985359
1506873600000,4290.17,4406.52,4270.01,4378.48,221.975612,1506902399999,961080.00975291,2766,111.469201,484176.32929852
1506902400000,4400.0,4560.0,4380.01,4424.01,227.975363,1506931199999,1011587.0143029,2860,113.987552,506762.9822069
1506931200000,4434.22,4561.63,4390.0,4409.09,288.592126,1506959999999,1280977.48718081,3152,129.345547,576278.12159681
1506960000000,4409.09,4433.11,4360.0,4380.0,139.189485,1506988799999,612718.27422474,2173,46.208307,203745.78671254
1506988800000,4380.0,4467.33,4213.21,4271.0,409.929213,1507017599999,1766317.15817044,4729,208.050552,896044.05350314
1507017600000,4280.0,4310.0,4180.8,4258.57,427.827399,1507046399999,1815401.63776705,4227,213.426349,906256.74093059
1507046400000,4258.58,4329.86,4222.02,4310.0,244.566951,1507075199999,1045703.9469013,3423,71.25828,305161.31596538
1507075200000,4314.9,4373.0,4274.0,4310.01,242.326419,1507103999999,1047344.65263142,3341,59.598304,257771.3523314
1507104000000,4310.01,4328.0,4142.0,4211.01,394.963193,1507132799999,1662226.49345889,4152,133.800069,563609.40937401
1507132800000,4211.01,4236.63,4153.02,4208.59,231.175489,1507161599999,966843.9544586,3513,99.530404,416171.60760055
1507161600000,4208.59,4235.0,4110.0,4154.1,295.657193,1507190399999,1230433.31761762,3466,136.113179,566292.99059378
1507190400000,4154.1,4335.0,4112.23,4314.49,318.115857,1507219199999,1350636.26175302,3355,161.182005,684014.14193838
1507219200000,4288.0,4355.0,4275.0,4292.43,165.365588,1507247999999,714463.24460715,2337,53.746835,232729.7010739
1507248000000,4318.99,4410.0,4292.0,4392.36,187.497963,1507276799999,815553.46728913,2246,110.098331,479922.17437332
1507276800000,4396.0,4417.0,4312.57,4382.07,217.913334,1507305599999,955668.66554167,2885,78.62492,344732.51698834
1507305600000,4382.07,4400.0,4315.95,4369.0,101.117879,1507334399999,440812.99131159,1415,37.424926,163451.91127897
1507334400000,4369.0,4399.0,4330.09,4334.0,112.434219,1507363199999,491987.34461075,1954,54.698787,239621.50259808
1507363200000,4335.0,4388.54,4312.56,4343.01,86.377848,1507391999999,375509.46984805,1329,38.218255,166411.39242407
1507392000000,4343.01,4479.5,4326.02,4423.0,98.785433,1507420799999,435036.40013401,1521,52.396034,231113.96307088
1507420800000,4425.0,4517.0,4425.0,4455.99,135.996632,1507449599999,606062.03190013,2334,67.422948,300789.80821578
1507449600000,4454.99,4599.0,4441.01,4590.0,201.662109,1507478399999,910325.51742157,2970,123.712081,558747.06644304
1507478400000,4590.0,4658.0,4525.0,4640.0,180.803263,1507507199999,830968.92012484,2276,88.959825,409123.95533316
1507507200000,4640.0,4660.0,4550.0,4584.06,150.503513,1507535999999,694376.58147636,2136,78.422683,361863.37803051
1507536000000,4587.02,4699.98,4564.32,4664.31,161.991686,1507564799999,749203.68645143,2619,73.80385,341531.64228025
1507564800000,4684.99,4889.98,4664.11,4786.95,333.967946,1507593599999,1596928.63643608,5617,198.530026,950879.61718347
1507593600000,4786.95,4888.88,4780.0,4785.78,228.184178,1507622399999,1102136.67930851,4513,97.485144,471586.18504798
1507622400000,4787.88,4880.0,4720.16,4831.99,313.734462,1507651199999,1508394.35460559,3534,214.158087,1030542.06309205
1507651200000,4830.97,4960.0,4680.59,4783.06,501.303133,1507679999999,2433752.82956172,3920,367.189443,1787485.51259971
1507680000000,4783.06,4840.0,4710.0,4829.99,479.933428,1507708799999,2291691.19511671,3533,387.777167,1852301.57342299
1507708800000,4820.0,4852.22,4751.01,4825.01,201.096102,1507737599999,966792.84847379,1742,111.051995,534719.43411637
1507737600000,4839.99,4881.61,4800.57,4821.43,72.399866,1507766399999,350756.86544869,620,41.258813,199956.71143509
1507766400000,4821.43,5010.2,4810.16,5010.2,115.979794,1507795199999,567353.05252827,1269,74.416313,364790.18785782
1507795200000,5010.2,5325.0,5010.2,5305.01,661.217828,1507823999999,3427481.40816641,3909,460.428077,2387188.76246368
1507824000000,5316.42,5439.99,5239.99,5430.0,499.50386,1507852799999,2664924.83049898,2852,261.750329,1397688.64882964
1507852800000,5439.99,5846.17,5379.84,5628.02,891.681577,1507881599999,5001659.87180464,5980,412.559333,2305707.18897062
1507881600000,5631.01,5800.0,5566.84,5762.25,526.972868,1507910399999,2992888.50427444,3393,269.278112,1530393.00851205
1507910400000,5762.24,5779.0,5520.0,5649.98,461.173175,1507939199999,2602791.92497079,2290,196.800632,1109686.16623368
1507939200000,5650.0,5722.87,5580.01,5653.41,331.344718,1507967999999,1871746.39943685,1917,156.338943,883001.58735159
1507968000000,5653.4,5779.99,5600.03,5752.04,316.518372,1507996799999,1802987.29917222,2137,137.119816,781234.50170839
1507996800000,5741.03,5900.0,5685.02,5869.99,322.895956,1508025599999,1859238.78738563,2205,140.336145,808539.11540236
1508025600000,5855.03,5922.3,5737.27,5786.11,376.744959,1508054399999,2190691.48833122,2433,186.241506,1082062.93124807
1508054400000,5786.11,5786.11,5400.01,5544.14,609.534437,1508083199999,3372860.21934243,3149,261.242388,1444951.89848351
1508083200000,5539.99,5756.36,5468.01,5709.99,357.243979,1508111999999,1990098.49365448,1870,153.938467,857761.87678508
1508112000000,5710.0,5739.99,5600.01,5628.32,348.051318,1508140799999,1975652.81803116,2187,131.155899,744995.12403922
1508140800000,5628.31,5749.99,5585.19,5681.22,608.783854,1508169599999,3464004.42067512,3828,306.915761,1746569.85192255
1508169600000,5681.22,5788.91,5642.02,5760.02,572.16129,1508198399999,3262257.55682907,3138,281.146878,1604720.87121664
1508198400000,5760.0,5774.98,5590.0,5650.02,467.624153,1508227199999,2642284.2393312,3378,211.447324,1195660.49267031
1508227200000,5657.96,5687.61,5508.63,5603.01,520.205861,1508255999999,2918087.52801552,3098,249.204383,1397519.69312484
1508256000000,5619.98,5649.99,5574.21,5595.0,442.039362,1508284799999,2481290.55146383,3279,228.115072,1281449.93209693
1508284800000,5595.0,5596.0,5277.22,5277.22,721.488554,1508313599999,3946892.97186521,6141,261.219022,1428087.8829983
1508313600000,5267.38,5379.0,5037.95,5322.28,942.365511,1508342399999,4952419.52390571,5346,447.980941,2355293.18324852
1508342400000,5344.0,5588.0,5320.28,5512.06,653.950308,1508371199999,3557597.48027281,3337,330.422512,1799174.89839996
1508371200000,5513.0,5631.3,5490.26,5577.98,483.411821,1508399999999,2692544.10595985,3249,228.769727,1273898.18716711
1508400000000,5577.99,5710.0,5555.0,5625.01,730.658672,1508428799999,4137125.43454769,4674,346.373157,1964820.82947429
1508428800000,5624.99,5694.0,5600.0,5683.9,667.651614,1508457599999,3779699.23287605,3630,291.02935,1650535.25112349
1508457600000,5683.31,5697.99,5600.0,5639.95,435.296204,1508486399999,2465848.53339506,3151,214.55237,1216112.8550253
1508486400000,5639.96,5995.0,5602.86,5889.99,728.645514,1508515199999,4195127.89677385,4704,361.668476,2076801.76175314
1508515200000,5889.99,6110.0,5878.03,6010.01,809.035502,1508543999999,4825575.75863769,3801,256.816611,1534767.82140518
1508544000000,6013.72,6167.99,5960.0,6091.92,601.668245,1508572799999,3650991.00810887,3756,294.771049,1789366.57686951
1508572800000,6091.92,6171.0,6072.06,6149.99,531.364402,1508601599999,3247400.17220717,3303,278.95531,1704326.5915414
1508601600000,6149.99,6169.04,5850.03,6024.97,531.275046,1508630399999,3216430.25994747,3123,222.296216,1348858.92163993
1508630400000,6003.27,6060.0,5770.0,5907.11,517.047936,1508659199999,3055500.2037848,3302,201.038254,1186830.4438189
1508659200000,5907.13,6000.0,5720.03,5970.27,525.124172,1508687999999,3080411.29161457,3241,202.798895,1189503.51715863
1508688000000,5970.3,6000.0,5832.07,5950.02,319.920108,1508716799999,1899503.87795692,2303,155.235193,921779.29333781
